user_id,duration,id,loginTime,logoutTime
0qazsqiLuMQseLNnZ22Yx4icNhAw,420.0,2024-08-02,2024-08-02 09:09:17,2024-08-02 09:16:17
0qazsqiLuMQseLNnZ22Yx4icNhAw,960.0,2024-08-03,2024-08-03 09:13:44,2024-08-03 09:29:44
0qazsqiLuMQseLNnZ22Yx4icNhAw,720.0,2024-08-04,2024-08-04 10:14:33,2024-08-04 10:26:33
nsX46uppKtc7SnfMgtY8JO6qD77I,780.0,2024-08-02,2024-08-02 10:52:46,2024-08-02 11:05:46
nsX46uppKtc7SnfMgtY8JO6qD77I,180.0,2024-08-03,2024-08-03 08:23:35,2024-08-03 08:26:35
nsX46uppKtc7SnfMgtY8JO6qD77I,540.0,2024-08-04,2024-08-04 08:56:04,2024-08-04 09:05:04
L1VhPSyGPK6vC7QPplJUDW51ZjOh,240.0,2024-07-11,2024-07-11 10:02:05,2024-07-11 10:06:05
L1VhPSyGPK6vC7QPplJUDW51ZjOh,960.0,2024-07-12,2024-07-12 08:21:44,2024-07-12 08:37:44
L1VhPSyGPK6vC7QPplJUDW51ZjOh,600.0,2024-07-13,2024-07-13 09:35:40,2024-07-13 09:45:40
L1VhPSyGPK6vC7QPplJUDW51ZjOh,60.0,2024-07-14,2024-07-14 08:40:40,2024-07-14 08:41:40
L1VhPSyGPK6vC7QPplJUDW51ZjOh,540.0,2024-07-15,2024-07-15 08:40:57,2024-07-15 08:49:57
L1VhPSyGPK6vC7QPplJUDW51ZjOh,300.0,2024-07-16,2024-07-16 10:16:25,2024-07-16 10:21:25
L1VhPSyGPK6vC7QPplJUDW51ZjOh,1140.0,2024-07-17,2024-07-17 10:05:05,2024-07-17 10:24:05
L1VhPSyGPK6vC7QPplJUDW51ZjOh,120.0,2024-07-18,2024-07-18 10:19:10,2024-07-18 10:21:10
L1VhPSyGPK6vC7QPplJUDW51ZjOh,240.0,2024-07-19,2024-07-19 09:03:25,2024-07-19 09:07:25
L1VhPSyGPK6vC7QPplJUDW51ZjOh,840.0,2024-07-20,2024-07-20 10:00:30,2024-07-20 10:14:30
L1VhPSyGPK6vC7QPplJUDW51ZjOh,900.0,2024-07-21,2024-07-21 09:44:38,2024-07-21 09:59:38
L1VhPSyGPK6vC7QPplJUDW51ZjOh,240.0,2024-07-22,2024-07-22 08:11:06,2024-07-22 08:15:06
L1VhPSyGPK6vC7QPplJUDW51ZjOh,600.0,2024-07-23,2024-07-23 10:18:53,2024-07-23 10:28:53
L1VhPSyGPK6vC7QPplJUDW51ZjOh,480.0,2024-07-24,2024-07-24 10:32:28,2024-07-24 10:40:28
L1VhPSyGPK6vC7QPplJUDW51ZjOh,1020.0,2024-07-25,2024-07-25 09:27:45,2024-07-25 09:44:45
T4qnlMpcXfcRBBo1syKzesevEz0Z,1080.0,2024-07-28,2024-07-28 09:41:35,2024-07-28 09:59:35
T4qnlMpcXfcRBBo1syKzesevEz0Z,60.0,2024-07-29,2024-07-29 10:26:57,2024-07-29 10:27:57
T4qnlMpcXfcRBBo1syKzesevEz0Z,180.0,2024-07-30,2024-07-30 08:22:52,2024-07-30 08:25:52
T4qnlMpcXfcRBBo1syKzesevEz0Z,240.0,2024-07-31,2024-07-31 08:46:10,2024-07-31 08:50:10
T4qnlMpcXfcRBBo1syKzesevEz0Z,660.0,2024-08-01,2024-08-01 08:14:21,2024-08-01 08:25:21
T4qnlMpcXfcRBBo1syKzesevEz0Z,1080.0,2024-08-02,2024-08-02 10:11:43,2024-08-02 10:29:43
T4qnlMpcXfcRBBo1syKzesevEz0Z,1020.0,2024-08-03,2024-08-03 10:13:04,2024-08-03 10:30:04
T4qnlMpcXfcRBBo1syKzesevEz0Z,1140.0,2024-08-04,2024-08-04 08:28:48,2024-08-04 08:47:48
n4WeeAJfhxaoL36EwBq4GjANoZOh,1020.0,2024-07-13,2024-07-13 10:44:07,2024-07-13 11:01:07
n4WeeAJfhxaoL36EwBq4GjANoZOh,540.0,2024-07-14,2024-07-14 10:39:46,2024-07-14 10:48:46
n4WeeAJfhxaoL36EwBq4GjANoZOh,840.0,2024-07-15,2024-07-15 10:49:55,2024-07-15 11:03:55
n4WeeAJfhxaoL36EwBq4GjANoZOh,540.0,2024-07-16,2024-07-16 10:14:58,2024-07-16 10:23:58
n4WeeAJfhxaoL36EwBq4GjANoZOh,540.0,2024-07-17,2024-07-17 08:38:25,2024-07-17 08:47:25
n4WeeAJfhxaoL36EwBq4GjANoZOh,900.0,2024-07-18,2024-07-18 10:25:35,2024-07-18 10:40:35
n4WeeAJfhxaoL36EwBq4GjANoZOh,1020.0,2024-07-19,2024-07-19 10:58:39,2024-07-19 11:15:39
n4WeeAJfhxaoL36EwBq4GjANoZOh,780.0,2024-07-20,2024-07-20 10:44:56,2024-07-20 10:57:56
n4WeeAJfhxaoL36EwBq4GjANoZOh,960.0,2024-07-21,2024-07-21 10:12:23,2024-07-21 10:28:23
n4WeeAJfhxaoL36EwBq4GjANoZOh,480.0,2024-07-22,2024-07-22 10:31:22,2024-07-22 10:39:22
